job_index,Well,Tipe Acid,Sandstone,Siltstone,Claystone,Shale,Coal,Limestone,IPR Vogel sebelum pengasaman (BFPD),Vogel Setelah Pengasaman BFPD,Layer Target,Batas Reservoar,Interval(ft),gain,well_norm,computed_delta_bfpd,computed_gain_ratio,gain_abs_delta_from_source,response_class,lithology_sum,iqr_training_scope,clr_sandstone,clr_siltstone,clr_claystone,clr_shale,clr_coal,clr_limestone,before_bfpd_per_ft,log1p_before_bfpd,log1p_interval_ft,reservoir_top,reservoir_bottom,reservoir_midpoint,reservoir_gross_span,reservoir_net_span,reservoir_gap_span,reservoir_segment_count,reservoir_continuity_ratio,interval_net_discrepancy,sand_fraction,fines_fraction,carbonate_fraction,coal_fraction,sand_to_fines_ratio,carbonate_to_clastic_ratio,clean_sand_index,lithology_entropy,lithology_nonzero_count,dominant_lithology,before_bfpd_per_net_span,before_bfpd_per_gross_span,well_area,layer_family,hcl_concentration_pct,hf_concentration_pct,mud_acid_flag,mud_acid_x_sand,mud_acid_x_fines,hcl_x_carbonate,hf_x_silicate,las_depth_coverage,las_sample_count,las_gamma_median,las_gamma_iqr,las_porosity_median,las_porosity_iqr,las_density_median,las_log_resistivity_median,las_sonic_median,las_water_saturation_median,las_clay_volume_median,las_log_permeability_median,las_available_signal_count,las_hydrocarbon_pore_proxy,las_quality_proxy,las_kh_proxy,las_clay_lithology_difference,split
36,L5A-277,Matrix Acidizing 15% HCl,60,0,0,23,17,0,1859,2708,Lay. R5 (1583-1586) m,1583-1586;,3.0,0.456697149,L5A-277,849,0.4566971490048413,4.841294032331689e-12,low_gain,100,kept,2.7622428441307054,-2.033547701466036,-2.033547701466036,1.816599900244023,1.521800360023378,-2.033547701466036,619.6666666666666,7.528331766707247,1.3862943611198906,1583.0,1586.0,1584.5,3.0,3.0,0.0,1.0,1.0,0.0,0.6,0.23,0.0,0.17,2.5416666666666665,0.011904761904761906,0.37,0.9457535105015699,3.0,Sandstone,619.6666666666666,619.6666666666666,L5A,R,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,train
37,KRG-009,Matrix Acidizing 15% HCl,0,0,0,20,0,80,29,88,Lay. A3 (1270-1275.5) mMD,1270-1275.5,5.5,2.034482759,KRG-009,59,2.0344827586206895,3.7931036089844383e-10,high_gain,100,kept,-1.4658294052814624,-1.4658294052814624,-1.4658294052814624,2.2477426614228455,-1.4658294052814624,3.6155749597030007,5.2727272727272725,3.4011973816621555,1.8718021769015913,1270.0,1275.5,1272.75,5.5,5.5,0.0,1.0,1.0,0.0,0.0,0.2,0.8,0.0,0.047619047619047616,3.857142857142857,-0.2,0.5004024235381879,2.0,Limestone,5.2727272727272725,5.2727272727272725,KRG,A,15.0,0.0,0.0,0.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,test
38,KRG-013,Matrix Acidizing 15% HCl,60,0,0,40,0,0,77,164,Lay. D1 (1369-1374) & D2 (1381-1385) m,1360-1374; 1391-1385,8.0,1.12987013,KRG-013,87,1.12987012987013,1.2987011466236709e-10,high_gain,100,kept,3.2640839288852117,-1.5317066167115296,-1.5317066167115296,2.8627425379609095,-1.5317066167115296,-1.5317066167115296,9.625,4.356708826689592,2.1972245773362196,1360.0,1391.0,1375.5,31.0,20.0,11.0,2.0,0.6451612903225806,12.0,0.6,0.4,0.0,0.0,1.4878048780487803,0.009900990099009901,0.19999999999999996,0.6730116670092565,2.0,Sandstone,3.85,2.4838709677419355,KRG,D,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,train
39,KRG-019,Matrix Acidizing 15% HCl,60,0,0,40,0,0,41,120,Lay. TAF-E (1461-1464) mMD,1461-1464;,3.0,1.926829268,KRG-019,79,1.9268292682926829,2.926827669114118e-10,high_gain,100,kept,3.2640839288852117,-1.5317066167115296,-1.5317066167115296,2.8627425379609095,-1.5317066167115296,-1.5317066167115296,13.666666666666666,3.7376696182833684,1.3862943611198906,1461.0,1464.0,1462.5,3.0,3.0,0.0,1.0,1.0,0.0,0.6,0.4,0.0,0.0,1.4878048780487803,0.009900990099009901,0.19999999999999996,0.6730116670092565,2.0,Sandstone,13.666666666666666,13.666666666666666,KRG,MULTI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,train
40,KRG-023,Mud Acidizing 12% HCl : 3% HF,65,0,0,35,0,0,206,259,Lay. R36/37 (1510-1514) mMD,1510-1514,4.0,0.257281553,KRG-023,53,0.25728155339805825,3.98058253026079e-10,low_gain,100,kept,3.352217789827407,-1.5229795333737446,-1.5229795333737446,2.739700343667571,-1.5229795333737446,-1.5229795333737446,51.5,5.332718793265369,1.6094379124341003,1510.0,1514.0,1512.0,4.0,4.0,0.0,1.0,1.0,0.0,0.65,0.35,0.0,0.0,1.8333333333333335,0.009900990099009901,0.30000000000000004,0.6474466390346325,2.0,Sandstone,51.5,51.5,KRG,R,12.0,3.0,1.0,0.65,0.35,0.0,3.0,3.810000000000173,26.0,50.575095,12.083527499999995,,,,,,,,,1.0,,,,,train
41,L5A-290,Matrix Acidizing 15% HCl,82,18,0,0,0,0,613,1810,Lay. S (1680-1683) mMD,1680-1684;,4.0,1.95269168,L5A-290,1197,1.9526916802610115,2.6101143468793e-10,high_gain,100,kept,3.6531349094764467,2.1581073482200903,-1.452810564424134,-1.452810564424134,-1.452810564424134,-1.452810564424134,153.25,6.419994928147142,1.6094379124341003,1680.0,1684.0,1682.0,4.0,4.0,0.0,1.0,1.0,0.0,0.82,0.18,0.0,0.0,4.368421052631579,0.009900990099009901,0.6399999999999999,0.4713934868100942,2.0,Sandstone,153.25,153.25,L5A,S,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8099999999999454,26.0,57.98525,6.410024999999997,0.18964999999999999,0.016100000000000003,2.3234,3.0434032950091545,83.85,,,,5.0,,,,,train
43,KRG-028,Mud Acidizing 12% HCl : 3% HF,30,0,0,65,5,0,474,501,Lay. S (1440-1442.5) mMD,1440-1442.5,2.5,0.056962025,KRG-028,27,0.056962025316455694,3.1645569498195414e-10,low_gain,100,kept,2.2135461208111726,-1.8973277433621387,-1.8973277433621387,2.977869579839013,0.500567529436232,-1.8973277433621387,189.6,6.163314804034641,1.252762968495368,1440.0,1442.5,1441.25,2.5,2.5,0.0,1.0,1.0,0.0,0.3,0.65,0.0,0.05,0.46969696969696967,0.010416666666666668,-0.35000000000000003,0.7909873504355756,3.0,Shale,189.6,189.6,KRG,S,12.0,3.0,1.0,0.3,0.65,0.0,2.8499999999999996,2.4384000000000015,17.0,54.67018,18.13172,,,,,,,,,1.0,,,,,train
46,L5A-216,Matrix Acidizing 15% HCl,0,0,0,10,0,90,1977,3233,Lay. R4 (1353.5-1355.5) m,1353.5-1355.5,2.0,0.635306019,L5A-216,1256,0.635306019221042,2.2104196251149233e-10,low_gain,100,kept,-1.373836578164875,-1.373836578164875,-1.373836578164875,1.670685859558548,-1.373836578164875,3.824660453100951,988.5,7.589841512182657,1.0986122886681098,1353.5,1355.5,1354.5,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.1,0.9,0.0,0.09090909090909091,8.272727272727273,-0.1,0.3250829733914482,2.0,Limestone,988.5,988.5,L5A,R,15.0,0.0,0.0,0.0,0.0,13.5,0.0,2.0,21.0,43.4665,36.539100000000005,0.0577,0.036699999999999997,2.2303,3.544688593543676,,,,,4.0,,,,,train
47,L5A-304,Matrix Acidizing 15% HCl,0,0,0,50,0,50,51,274,Lay. S (1599-1602) & T (1613-1617) mMD,1599-1602; 1613-1617,7.0,4.37254902,L5A-304,223,4.372549019607843,3.921574176501963e-10,high_gain,100,kept,-1.5383735056137535,-1.5383735056137535,-1.5383735056137535,3.076747011227506,-1.5383735056137535,3.076747011227506,7.285714285714286,3.9512437185814275,2.0794415416798357,1599.0,1617.0,1608.0,18.0,7.0,11.0,2.0,0.3888888888888889,0.0,0.0,0.5,0.5,0.0,0.0196078431372549,1.0,-0.5,0.6931471805599453,2.0,Shale,7.285714285714286,2.8333333333333335,L5A,MULTI,15.0,0.0,0.0,0.0,0.0,7.5,0.0,18.0,30.0,56.575900000000004,10.895425000000003,,,,,,,,,1.0,,,,,train
48,TMB-020,Matrix Acidizing 15% HCl,70,0,0,30,0,0,253,910,Lay. TAF A3 (1524-1529) mMD,1524-1529,5.0,2.596837945,TMB-020,657,2.5968379446640317,3.359681421954974e-10,high_gain,100,kept,3.438820931286255,-1.5099389590919134,-1.5099389590919134,2.600934905081398,-1.5099389590919134,-1.5099389590919134,50.6,5.537334267018537,1.791759469228055,1524.0,1529.0,1526.5,5.0,5.0,0.0,1.0,1.0,0.0,0.7,0.3,0.0,0.0,2.290322580645161,0.009900990099009901,0.39999999999999997,0.6108643020548935,2.0,Sandstone,50.6,50.6,TMB,MULTI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,validation
